group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_global_generic,AP50_delta_global_generic,AP75_delta_global_generic,AP_delta_det_pseudo,AP50_delta_det_pseudo,AP75_delta_det_pseudo
aggregate,target,det_pseudo_clip_radius,contrast_s2,33.29616645310452,50.40094403041496,33.97040771789904,0.1952265145748644,0.23286145333845099,0.37588368928889726,0.17048023418632097,0.3472735811633876,0.11331006360114082,0.06571482189455802,0.10874763880296401,0.13983037013748922
aggregate,target,det_pseudo_clip_radius,color_cast_s1,38.18544120143648,57.2192625510161,40.32566776495499,0.03339859245776178,0.08340192629622267,-0.09095364130221051,-0.0038936837068348495,0.003829646036679346,-0.03389076556656323,-0.005305324539917056,-0.001581425052477048,-0.007515121562334803
aggregate,target,det_pseudo_clip_radius,color_cast_s2,36.96360370396883,55.38092076891024,39.040142174221394,0.0901307453078648,0.06769347732002995,0.11701179458906141,0.03244184307848452,-0.008200430026339411,0.0936808338978079,0.22878887363717015,0.1479851594093584,0.1758069941762197
aggregate,target,det_pseudo_clip_radius,clean_s0,39.37653510014052,58.81099614756838,41.97242475676938,0.06094732073553821,0.04005631834886891,0.2474250223821861,0.08285540319761253,0.06352437357395324,0.38801725609280413,0.16855706228043887,0.35058259394182834,0.18821751751161853
aggregate,ssd,no_adapt,gamma_s1,24.17844063048107,40.36430895874107,25.065528286024392,0.0,0.0,0.0,0.06930261816671113,0.10048121117861575,-0.13021891691454845,0.026854614263888132,-0.24839004189440295,-0.01948223197970056
aggregate,ssd,no_adapt,gamma_s2,23.25772945613843,39.14208673570995,23.839267413856497,0.0,0.0,0.0,-0.07114202272613945,-0.19006725488273646,-0.049132357676084926,-0.19182725151147273,-0.20313506074275955,-0.14076036275361137
aggregate,ssd,no_adapt,contrast_s1,24.673338631769106,41.40370083478237,25.243633579849728,0.0,0.0,0.0,0.01814296983188024,0.017268130157743755,0.1540483737064724,0.011865317907724937,-0.026755145456447416,-0.0058227718731596045
aggregate,ssd,no_adapt,contrast_s2,22.892204322122936,38.827303963852756,22.6434970584459,0.0,0.0,0.0,-0.04846410593286887,-0.021301805252726957,-0.22822585763133396,0.16247014813460525,0.5185273586429007,-0.21688178354358212
aggregate,ssd,no_adapt,color_cast_s1,24.238628144488754,40.69254273513056,24.561929137098552,0.0,0.0,0.0,-0.024197390579511202,-0.008219971730538678,0.032975530673842735,-0.03577221978663392,-0.06971792107912655,-0.029710321639556114
aggregate,ssd,no_adapt,color_cast_s2,23.66790709277057,39.686193768235576,24.03849507801076,0.0,0.0,0.0,0.03748483924708168,0.0026829599404309956,0.0757105942263081,0.03195090390112898,-0.07349114834481751,0.1221030907963494
aggregate,ssd,no_adapt,clean_s0,24.835929299621945,41.58052032476828,25.588730275751203,0.0,0.0,0.0,-0.015129364127886014,0.09351140504409439,-0.09023660236335274,0.023944604506156986,-0.040257333541049434,-0.019037935410687323
aggregate,ssd,global_generic,gamma_s1,24.10913801231436,40.26382774756245,25.19574720293894,-0.06930261816671113,-0.10048121117861575,0.13021891691454845,0.0,0.0,0.0,-0.042448003902822995,-0.3488712530730187,0.1107366849348479
aggregate,ssd,global_generic,gamma_s2,23.32887147886457,39.33215399059269,23.88839977153258,0.07114202272613945,0.19006725488273646,0.049132357676084926,0.0,0.0,0.0,-0.12068522878533328,-0.013067805860023096,-0.09162800507752644
aggregate,ssd,global_generic,contrast_s1,24.655195661937224,41.386432704624625,25.089585206143255,-0.01814296983188024,-0.017268130157743755,-0.1540483737064724,0.0,0.0,0.0,-0.006277651924155303,-0.04402327561419117,-0.159871145579632
aggregate,ssd,global_generic,contrast_s2,22.940668428055805,38.84860576910548,22.871722916077232,0.04846410593286887,0.021301805252726957,0.22822585763133396,0.0,0.0,0.0,0.21093425406747413,0.5398291638956276,0.011344074087751843
aggregate,ssd,global_generic,color_cast_s1,24.262825535068263,40.7007627068611,24.528953606424707,0.024197390579511202,0.008219971730538678,-0.032975530673842735,0.0,0.0,0.0,-0.011574829207122717,-0.06149794934858788,-0.06268585231339885
aggregate,ssd,global_generic,color_cast_s2,23.630422253523488,39.683510808295146,23.962784483784453,-0.03748483924708168,-0.0026829599404309956,-0.0757105942263081,0.0,0.0,0.0,-0.005533935345952701,-0.07617410828524851,0.0463924965700413
aggregate,ssd,global_generic,clean_s0,24.851058663749832,41.48700891972418,25.678966878114558,0.015129364127886014,-0.09351140504409439,0.09023660236335274,0.0,0.0,0.0,0.039073968634043,-0.13376873858514382,0.07119866695266541
aggregate,ssd,det_pseudo,gamma_s1,24.151586016217184,40.61269900063547,25.08501051800409,-0.026854614263888132,0.24839004189440295,0.01948223197970056,0.042448003902822995,0.3488712530730187,-0.1107366849348479,0.0,0.0,0.0
aggregate,ssd,det_pseudo,gamma_s2,23.449556707649904,39.34522179645271,23.980027776610108,0.19182725151147273,0.20313506074275955,0.14076036275361137,0.12068522878533328,0.013067805860023096,0.09162800507752644,0.0,0.0,0.0
aggregate,ssd,det_pseudo,contrast_s1,24.66147331386138,41.43045598023882,25.249456351722888,-0.011865317907724937,0.026755145456447416,0.0058227718731596045,0.006277651924155303,0.04402327561419117,0.159871145579632,0.0,0.0,0.0
aggregate,ssd,det_pseudo,contrast_s2,22.72973417398833,38.30877660520986,22.86037884198948,-0.16247014813460525,-0.5185273586429007,0.21688178354358212,-0.21093425406747413,-0.5398291638956276,-0.011344074087751843,0.0,0.0,0.0
aggregate,ssd,det_pseudo,color_cast_s1,24.274400364275387,40.76226065620968,24.591639458738108,0.03577221978663392,0.06971792107912655,0.029710321639556114,0.011574829207122717,0.06149794934858788,0.06268585231339885,0.0,0.0,0.0
aggregate,ssd,det_pseudo,color_cast_s2,23.63595618886944,39.7596849165804,23.916391987214414,-0.03195090390112898,0.07349114834481751,-0.1221030907963494,0.005533935345952701,0.07617410828524851,-0.0463924965700413,0.0,0.0,0.0
