config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
support_confidence_high_50,block_1,target,contrast_s2,37.23616167188427,52.22348760624593,39.30609939042428,0.23682017237638964,0.2333494388350732,0.15777967398606374,-0.24389098188097869,-0.3511765829318114,-0.0766171593758802
support_confidence_high_50,block_1,target,color_cast_s1,42.56341646472405,59.31390161336547,44.70128532469603,0.0525722787732219,0.01011853067355295,-0.02736910578411411,-0.03288652959802518,-0.0934047460191545,0.17187401236882227
support_confidence_high_50,block_1,target,color_cast_s2,40.85164195162452,57.532096837014215,42.36986113314327,0.23265873138780258,0.21657703187405453,0.128169097989711,0.23927564508703925,0.10292135813608771,0.2637089390387648
support_confidence_high_50,block_1,target,clean_s0,43.280025120923405,60.736562265416374,46.42547852849694,-0.04956190043407527,0.022510870575542796,0.19021835712758062,-0.11719850915923868,0.06479738427018766,-0.2866420148588289
support_confidence_high_50,block_1,ssd,gamma_s1,29.0464888855093,45.60199927349062,31.06625994909955,-0.0017806665747077677,-0.1381510722527346,0.22948813457308592,-0.026053734684922114,-0.11797972699695847,0.006232745090095637
support_confidence_high_50,block_1,ssd,gamma_s2,28.23067487450171,44.439157451711985,29.190378558542836,-0.06429143494238176,0.04486873408244274,0.14389983827037267,-0.008013688675473363,-0.0677502257127427,-0.09981830259436775
support_confidence_high_50,block_1,ssd,contrast_s1,29.03832843506018,45.952828586125236,30.19377342452782,-0.19084839024687272,-0.20338557081118758,-0.09954700413373763,-0.155000668617844,-0.5391858343082034,-0.08145254553192927
support_confidence_high_50,block_1,ssd,contrast_s2,27.774471070212144,43.77556248409944,27.740607974463806,0.18011575429026094,0.2665488061609933,0.0964855105981266,0.05823097321645543,-0.11288842103620578,0.067204245928143
support_confidence_high_50,block_1,ssd,color_cast_s1,28.73019653119961,45.860297552307564,30.05292706544125,0.056445148522149546,0.01058305435591711,0.14708242963015206,0.0699060841538035,0.1678555188276698,0.024519143475165706
support_confidence_high_50,block_1,ssd,color_cast_s2,27.708125130860456,43.749745355470246,28.795948474998763,-0.03631407119031871,0.006780836162989523,-0.02772536392529057,0.03171759651507955,0.015798885728846024,0.08930591461421833
support_confidence_high_50,block_1,ssd,clean_s0,29.386713893031608,46.27648811725922,30.751552610562022,-0.1460525262293677,-0.13821513107993288,-0.12606132653938396,-0.1437652602764461,-0.08162325418811789,-0.1595481372999641
support_confidence_high_50,block_2,source,gamma_s1,42.580069174592154,64.30631511764855,46.35813766324255,0.07453407626458741,0.00040816881333727295,-0.07544100169900037,-0.1261196351215077,0.045642279304070055,-0.27930330971556727
support_confidence_high_50,block_2,source,gamma_s2,40.59831498381269,61.40050720331439,44.959900851077755,-0.08216536542476893,-0.08689409034911,0.13952441953803962,-0.20168830809451643,-0.05300768085084728,-0.17236073914465022
support_confidence_high_50,block_2,source,contrast_s1,41.54394710414665,61.819315719365555,45.5629108150538,0.15826144021380273,-0.13924938911999973,-0.1147893908548192,-0.030019568388645057,-0.1925603020340838,-0.27565420922354145
support_confidence_high_50,block_2,source,contrast_s2,36.056272984924306,56.64023139023908,37.43687751542162,0.09493346478373632,-0.12649093367471664,0.7245359886065339,-0.036543020101437174,-0.2010752379557501,-0.5865004584360345
support_confidence_high_50,block_2,source,color_cast_s1,42.4059343730218,64.33586266186822,47.649996902686304,0.1259360859778902,-0.2572270536342569,0.10284196173551696,-0.10823337609327521,0.08290526441535606,0.09957984918804175
support_confidence_high_50,block_2,source,color_cast_s2,41.45833659253266,62.955721706645406,45.300224107382846,-0.13651223682845104,-0.10302090179235002,0.10489885809413235,0.2681008982590938,0.43203388329612347,0.5521036861466322
