config,group,detector,macro_AP_delta_no_adapt,positive_conditions_no_adapt,clean_AP_delta_no_adapt,macro_AP_delta_full_hybrid,positive_conditions_full_hybrid,clean_AP_delta_full_hybrid
clip_norm_low_75,aggregate,ssd,0.012369039365849044,4,0.03171481469818882,-0.01979168943771481,2,0.03583614837752158
clip_norm_low_75,block_1,source,-0.01270964949001511,3,-0.28271813641554955,0.04161050328476967,3,-0.08899628481798816
clip_norm_low_75,block_1,target,0.10391691835944887,3,0.08167413556627312,0.010379809135113716,2,0.014037526841109704
clip_norm_low_75,block_1,ssd,0.013394749497706396,2,0.0784700195392174,0.01797145317253464,5,0.08075728549213901
clip_norm_low_75,block_2,source,0.116205265303936,5,-0.1547621132151844,0.037956852882755264,3,0.18313640020692357
clip_norm_low_75,block_2,target,0.03531028601800601,4,0.03661755264738331,-0.12674172640281442,3,0.22165156887903326
clip_norm_low_75,block_2,ssd,0.06718473085617349,5,-0.0292134533224242,0.011812472857809323,2,-0.013007887097343795
clip_norm_low_75,block_3,source,-0.05016924847316603,3,-0.07370118185325292,-0.06659491922837435,3,-0.12374784573353503
clip_norm_low_75,block_3,target,-0.034857031957659844,3,0.1229856291101672,0.015988331928710558,2,0.22196948164069363
clip_norm_low_75,block_3,ssd,0.04575357165598204,4,0.022935305058052746,-0.038113106183927194,3,-0.05834605966077433
clip_norm_low_75,block_4,source,0.051746064477627605,3,0.12190305931334966,0.0313084490618426,4,0.033519643973611846
clip_norm_low_75,block_4,target,0.035164247339649256,4,0.024423933285799837,-0.06307365259746085,3,-0.11546651912392458
clip_norm_low_75,block_4,ssd,-0.002840168809106295,4,-0.0035722042003971666,-0.03446516788108561,2,0.1904179565112296
clip_norm_low_75,block_5,source,0.020145123224694455,4,0.10870444533050416,-0.011374919802759065,3,0.07273921053544963
clip_norm_low_75,block_5,target,0.058284754677583504,3,0.2374701428174586,-0.022407765579768313,2,-0.03266064678456582
clip_norm_low_75,block_5,ssd,0.09243360962409668,4,0.0254641339808237,0.06799735117744288,5,0.10326442176296635
det_norm_high_25,aggregate,source,0.030178631044909993,4,-0.048623478999049174,-0.037003555259575625,3,-0.030712774140018162
det_norm_high_25,aggregate,target,0.02100557699277102,4,0.04595992799622528,-0.04926602998275483,1,-0.014987392739312932
det_norm_high_25,aggregate,ssd,0.006320388100062672,3,-0.008330273643686326,-0.02584034070350118,2,-0.004208939964353564
det_norm_high_25,block_1,source,0.014643635202178188,3,-0.08187296608877515,0.06896378797696297,4,0.11184888550878624
det_norm_high_25,block_1,target,0.029766398540939654,3,-0.009228518896092774,-0.0637707106833955,2,-0.07686512762125619
det_norm_high_25,block_1,ssd,0.006991516762075434,3,0.06594472701902387,0.011568220436903679,3,0.06823199297194549
det_norm_high_25,block_2,source,-0.020817039854509334,3,-0.33762799974345614,-0.09906545227569008,1,0.0002705136786518292
det_norm_high_25,block_2,target,0.054566416177751854,2,-0.15221621405553387,-0.10748559624306857,2,0.03281780217611607
det_norm_high_25,block_2,ssd,-0.02980951056487195,3,0.022200063672001003,-0.08518176856323612,0,0.038405629897081406
det_norm_high_25,block_3,source,-0.0735183175072679,2,0.052059921814912036,-0.08994398826247622,3,0.0020132579346299195
det_norm_high_25,block_3,target,-0.09072389822089484,0,-0.03374119449544577,-0.03987853433452445,1,0.06524265803508067
det_norm_high_25,block_3,ssd,0.005223328599663716,2,-0.17908013255570343,-0.07864334924024552,1,-0.2603614972745305
det_norm_high_25,block_4,source,0.07626369014905691,3,0.012123205316555419,0.05582607473327191,4,-0.0762602100231824
det_norm_high_25,block_4,target,0.04834474178066946,4,0.12192726192126191,-0.04989315815644065,2,-0.01796319048846251
det_norm_high_25,block_4,ssd,-0.00978545734263934,2,-0.06384843215866409,-0.04141045641461866,2,0.1301417285529627
det_norm_high_25,block_5,source,-0.004787124804634761,3,0.0029312631529720967,-0.03630716783208828,2,-0.03303397164208244
det_norm_high_25,block_5,target,0.05887107229410882,5,0.1356546555740079,-0.021821447963242997,2,-0.1344761340280165
det_norm_high_25,block_5,ssd,0.09347124493886046,6,-0.11898530410621166,0.06903498649220667,4,-0.04118501632406901
det_norm_high_50,aggregate,source,0.007319635586746272,4,-0.02044257537936467,-0.05986255071773935,3,-0.0025318705203336567
det_norm_high_50,aggregate,target,0.04365248042515202,5,0.06801603328190908,-0.026619126550373833,2,0.00706871254637087
det_norm_high_50,aggregate,ssd,0.024204129725306778,5,0.01741162704739785,-0.007956599078257076,3,0.02153296072673061
det_norm_high_50,block_1,source,-0.0005033053706434328,3,0.040320347198546935,0.05381684740414135,4,0.23404219879610832
det_norm_high_50,block_1,target,0.042664977294902075,3,0.03519115024576691,-0.05087213192943307,1,-0.032445458479396505
det_norm_high_50,block_1,ssd,-0.008479120913264712,2,0.02482391070572354,-0.0039024172384364655,3,0.027111176658645153
det_norm_high_50,block_2,source,0.011265840668861493,5,-0.38507916177920043,-0.06698257175231925,1,-0.04718064835709246
det_norm_high_50,block_2,target,0.11775314105558025,4,-0.18698565578995074,-0.04429887136524017,2,-0.0019516395583007995
det_norm_high_50,block_2,ssd,-0.03139654427962527,2,0.034771575450071035,-0.08676880227798944,0,0.05097714167515144
det_norm_high_50,block_3,source,-0.052391746401596793,4,0.09947819284560899,-0.06881741715680512,2,0.049431528965326876
