config,score,orientation,nominal_coverage,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,promising_rule_met,source_macro_AP_delta_no_adapt,source_positive_conditions_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP_delta_full_hybrid,source_positive_conditions_full_hybrid,source_clean_AP_delta_full_hybrid,target_macro_AP_delta_no_adapt,target_positive_conditions_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP_delta_full_hybrid,target_positive_conditions_full_hybrid,target_clean_AP_delta_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_positive_conditions_full_hybrid,ssd_clean_AP_delta_full_hybrid,target_positive_blocks,ssd_positive_blocks
gradient_cosine_high_25,gradient_cosine,high,0.25,0.244,0.251,0.00872712235013023,0.244,0.1521210649078712,0.15380905109793822,False,0.01164618520811215,5,-0.050751967722911795,-0.055536001096373466,2,-0.03284126286388078,0.0497640589904332,5,0.011281562081066898,-0.02050754798509265,1,-0.049665758654471315,0.0023443705261745142,3,0.028156173390672667,-0.02981635827738934,3,0.03227750707000543,4,3
gradient_cosine_high_50,gradient_cosine,high,0.5,0.484,0.5026666666666667,0.01685781461559236,0.484,0.20333544363061082,0.20809012773480692,True,0.034042843436194827,5,-0.06955563191833325,-0.03313934286829079,2,-0.05164492705930224,0.05795767178477795,5,0.03742793326828586,-0.012313935190747896,2,-0.02351938746725235,0.001082090794340962,3,0.011526754984014786,-0.031078638009222892,1,0.015648088663347548,4,4
gradient_cosine_high_75,gradient_cosine,high,0.75,0.74,0.7516666666666667,0.02613838527048938,0.733,0.25754645236974466,0.2608442125728082,False,0.03848551348999881,5,-0.01607232372635159,-0.028696672814486807,2,0.001838381132679423,0.07232217134977385,5,0.012645351537537985,0.0020505643742479984,4,-0.04830196919800023,0.01392857374098259,3,0.00394451456179612,-0.018232155062581263,1,0.008065848241128881,4,4
gradient_cosine_low_25,gradient_cosine,low,0.25,0.26,0.24833333333333332,0.010517069010529668,0.26,0.15582609913666964,0.15323656607209704,False,0.014298287190287843,4,-0.011910952202071057,-0.052883899114197774,1,0.005999752656959956,0.003396891539531969,4,0.06494906697654401,-0.06687471543599388,1,0.004001746241005799,0.014976240247462544,4,-0.01983167755575943,-0.017184488556101312,3,-0.01571034387642667,3,4
gradient_cosine_low_50,gradient_cosine,low,0.5,0.516,0.49733333333333335,0.019797639665426685,0.509,0.21003710787580349,0.20599065091009833,False,0.03394993409239951,4,0.009365108202491479,-0.03323225221208611,1,0.02727581306152249,0.023048049713273826,5,0.0479292863394043,-0.047223557262252025,1,-0.013018034396133915,0.028976352681809685,5,-0.002016283676969932,-0.0031843761217541697,3,0.0021050500023628294,3,4
gradient_cosine_low_75,gradient_cosine,low,0.75,0.756,0.749,0.027928331930888818,0.749,0.26125148659854314,0.26027172754696704,False,0.04539781882997677,4,0.02274597504496323,-0.021784367474508848,1,0.04065667990399424,0.02410902800486503,5,0.06872667588570525,-0.04616257897066082,1,0.007779355150167033,0.029165077017304548,3,-0.02726826899427104,-0.002995651786259305,2,-0.023146935314938277,3,4
pseudo_loss_high_25,pseudo_loss,high,0.25,0.235,0.2525,0.008465263273566961,0.235,0.15004243715255872,0.15416865947429323,True,0.029015994694520097,3,0.001295339744655788,-0.03816619160996552,2,0.0192060446036868,0.00136457060255409,4,0.02440836096480048,-0.06890703637297176,1,-0.03653895977073773,0.01973222089150702,3,0.005854963850457362,-0.012428507912056833,2,0.009976297529790124,4,4
pseudo_loss_high_50,pseudo_loss,high,0.5,0.505,0.49916666666666665,0.018072540832916276,0.505,0.20810144014656543,0.20742007231004633,False,0.05285351044930683,5,-0.0435008420063443,-0.014328675855178793,2,-0.025590137147313285,0.02521755180948937,5,0.0795405187595355,-0.04505405516603648,2,0.01859319802399728,0.027476105430053927,4,0.028551807349355696,-0.004684623373509926,2,0.03267314102868846,4,5
pseudo_loss_high_75,pseudo_loss,high,0.75,0.754,0.7493333333333333,0.027137136770179496,0.754,0.26124506811841275,0.26099780247135884,False,0.06889671933074937,5,-0.05930120153684326,0.00171453302626375,3,-0.04139049667781225,0.052121890360048995,5,0.049929627141215294,-0.018149716615476857,0,-0.01101769359432292,0.026502286516091416,5,0.01484952078977253,-0.005658442287472439,3,0.01897085446910529,4,3
pseudo_loss_low_25,pseudo_loss,low,0.25,0.246,0.25066666666666665,0.009518317510839551,0.239,0.15212748338800156,0.15308297617354644,True,-0.00816732618437547,3,0.04267843310339914,-0.07534951248886108,0,0.06058913796243015,0.02450653912479857,6,0.028915791178973915,-0.04576506785072728,1,-0.0320315295565643,0.007168639922475184,5,-0.031467829822642845,-0.02499208888108867,1,-0.027346496143310084,5,4
pseudo_loss_low_50,pseudo_loss,low,0.5,0.495,0.5008333333333334,0.018582913448102773,0.488,0.20527111135984888,0.20666070633485895,False,0.0031838693438618337,4,0.03236698318629938,-0.06399831696062379,0,0.05027768804533039,0.04617260191352168,4,0.01006303843050782,-0.02409900506200417,1,-0.05088428230503039,0.007092339453490526,4,-0.044806758079157794,-0.025068389350073328,2,-0.04068542439982503,5,2
pseudo_loss_low_75,pseudo_loss,low,0.75,0.765,0.7475,0.028190191007452084,0.758,0.2633301143538556,0.259912119170612,False,0.029001557279037526,4,-0.028450840787591636,-0.03818062902544809,2,-0.010540135928560623,0.0742760116300099,5,0.05619494996880747,0.0040044046544840395,3,-0.00475237076673074,0.016295261940992473,4,-0.004028221220256367,-0.01586546686257138,3,9.311245907639432e-05,5,4
support_count_high_25,support_count,high,0.25,0.275,0.24583333333333332,0.009671403198037297,0.275,0.10655622258296353,0.09902564417180353,False,0.02494708680085463,4,0.004536743483785077,-0.04223509950363099,1,0.02244744834281609,0.013220144161494677,4,0.0060335394701516165,-0.05705146281403117,1,-0.054913781265386596,0.01887460800252631,4,-0.009584499470929875,-0.013286120801037546,3,-0.005463165791597113,3,5
support_count_high_50,support_count,high,0.5,0.531,0.49483333333333335,0.0186434669746086,0.531,0.18018226889774086,0.17065665039050995,False,0.02626990722412829,4,-0.04768583616487909,-0.04091227908035733,1,-0.02977513130584808,0.046934183057511146,5,0.043859952195607343,-0.023337423918014705,1,-0.01708736853993087,0.01720663353288049,4,0.031032890246249223,-0.014954095270683365,3,0.035154223925581984,4,5
support_count_high_75,support_count,high,0.75,0.778,0.7453333333333333,0.028094543314771726,0.778,0.2507602404496283,0.24243930847588732,False,0.06638309407279719,5,0.01137544901210763,-0.0007990922316884289,3,0.029286153871138643,0.07521196701967454,5,0.029699074510958212,0.004940360044148699,4,-0.03124824622458,0.034019596442991705,5,-0.024359047760597052,0.0018588676394278487,4,-0.02023771408126429,4,5
support_count_low_25,support_count,low,0.25,0.224,0.25433333333333336,0.008535229383036495,0.217,0.09102184596910956,0.09950901249056429,False,0.0005772113098147699,2,-0.013113767246331065,-0.06660497499467084,0,0.0047969376126999475,0.011291833352388333,5,0.03598590171847715,-0.05897977362313752,1,-0.02496141901706106,-0.0025776857888903937,2,0.021299862488921573,-0.03473841459245425,1,0.025421196168254334,4,2
support_count_low_50,support_count,low,0.5,0.468,0.5053333333333333,0.01797767798625864,0.461,0.16100973666997742,0.17158312219859606,False,-0.022344996014244296,4,-0.0038034496962713327,-0.08952718231872991,3,0.01410725516275968,0.03565332849702526,5,0.030340149648566683,-0.034618278478500596,1,-0.03060717108697153,0.01709979560080982,3,0.004271293292185119,-0.015060933202754034,2,0.00839262697151788,4,2
support_count_low_75,support_count,low,0.75,0.721,0.7548333333333334,0.026950012705055995,0.714,0.23365468513884116,0.24335258836246795,False,0.03445050781135014,5,-0.03310181920131994,-0.032731678493135484,2,-0.015191114342288925,0.062133578453937854,5,0.06560699022929439,-0.008138028521587995,2,0.00465966949375618,0.01336008003868285,3,0.008222399575091854,-0.018800648764881005,1,0.012343733254424616,4,3
support_confidence_high_25,support_confidence,high,0.25,0.251,0.24983333333333332,0.009802522510290146,0.251,0.09980865944203106,0.10006270938194939,True,-0.017510216320282268,3,0.04241745542412634,-0.08469240262476789,0,0.06032816028315735,0.03593255263105999,6,0.01139112877969195,-0.03433905434446586,1,-0.04955619195584626,0.004567184039977005,5,-0.04002323639553662,-0.027593544763586848,2,-0.03590190271620386,5,4
support_confidence_high_50,support_confidence,high,0.5,0.503,0.4995,0.01905538498959504,0.503,0.17166284299182008,0.17160742926736325,False,-0.01839769703539847,2,0.004708609825865295,-0.08557988333988409,0,0.022619314684896308,0.037309165657956056,5,0.01864148763126572,-0.03296244131756979,1,-0.042305833104272494,0.0004433597228315859,3,-0.03075909381820563,-0.03171736908073227,2,-0.026637760138872868,4,3
support_confidence_high_75,support_confidence,high,0.75,0.757,0.7488333333333334,0.028064364524791018,0.757,0.2447810095201712,0.2433692927869512,False,0.03659753045334909,4,-0.05840198195709023,-0.030584655851136528,1,-0.04049127709805922,0.07133049290769893,5,-0.017413680250111252,0.0010588859321730704,3,-0.07836100098564946,0.013875291721522168,5,-0.05101118413706751,-0.018285437082041684,3,-0.04688985045773475,5,2
support_confidence_low_25,support_confidence,low,0.25,0.243,0.25116666666666665,0.00859108975622803,0.236,0.09670872408556169,0.09884423922799761,False,0.02193387372358783,4,0.046737746242409006,-0.04524831258089779,2,0.06464845110144002,0.008819305820288262,4,0.08579197730116395,-0.06145230115523759,1,0.024844656565625733,0.021449165540196602,3,0.03279003309711315,-0.010711563263367252,1,0.03691136677644591,3,5
support_confidence_low_50,support_confidence,low,0.5,0.497,0.5005,0.017600069291424006,0.49,0.16982689061391285,0.1706061027475856,True,0.07857403849694893,6,-0.014278819541863053,0.011391852192463303,3,0.00363188531716796,0.0367931176901611,5,0.0741003865401435,-0.03347848928536475,1,0.01315306580460529,0.03292636368797397,4,0.01571122362068189,0.0007656348844101157,3,0.019832557300014653,4,5
support_confidence_low_75,support_confidence,low,0.75,0.749,0.7501666666666666,0.0268529317707289,0.742,0.24168107416370185,0.24215082263299942,False,0.07645937784931112,6,-0.06301762140401013,0.0092771915448255,4,-0.045106916544979114,0.04298180567002633,5,0.06847282841118685,-0.027289801305499517,0,0.007525507675648635,0.02708622175891101,4,0.023038609658745934,-0.005074507044652843,2,0.027159943338078696,4,4
