group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_global_generic,AP50_delta_global_generic,AP75_delta_global_generic,AP_delta_det_pseudo,AP50_delta_det_pseudo,AP75_delta_det_pseudo
aggregate,ssd,no_adapt,color_cast_s2,33.910225233049616,57.71061316657982,41.584158415841586,0.0,0.0,0.0,0.0010689328042101653,0.010689328042112756,0.0,11.238692695180447,12.510689328042119,24.876237623762375
aggregate,ssd,no_adapt,clean_s0,26.698336995167082,52.02104267498709,16.707920792079207,0.0,0.0,0.0,0.12321836579262668,0.08704167120008321,0.0,0.1649755546274223,0.6786969019482614,0.0
aggregate,ssd,global_generic,gamma_s1,23.160606239195346,49.125314317146,16.707920792079207,0.08618379695112255,0.4944798051233712,0.0,0.0,0.0,0.0,-0.5300845331785958,1.4852618503608583,0.0
aggregate,ssd,global_generic,gamma_s2,23.104078264969356,47.47171145685997,12.5,0.46839803027921845,1.088323118026091,0.0,0.0,0.0,0.0,0.3941406045366441,0.3457488606003478,0.0
aggregate,ssd,global_generic,contrast_s1,11.072237786965509,37.37181753889674,4.207920792079208,-0.20522629896562866,0.7767109128495264,-0.16184310738766167,0.0,0.0,0.0,-0.38954726291400427,0.8145107205730473,0.0
aggregate,ssd,global_generic,contrast_s2,25.61102632819673,53.494193404302834,12.5,3.785677603392898,10.49512233014736,0.0,0.0,0.0,0.0,4.292269452509162,13.628956880650472,-2.805280528052803
aggregate,ssd,global_generic,color_cast_s1,38.16827012889968,59.55538950121427,41.66355314776761,-0.038362376456119174,-2.2964141001985072,0.07939473192602464,0.0,0.0,0.0,11.99347050608025,10.752937827475478,24.955632355688397
aggregate,ssd,global_generic,color_cast_s2,33.90915630024541,57.6999238385377,41.584158415841586,-0.0010689328042101653,-0.010689328042112756,0.0,0.0,0.0,0.0,11.237623762376236,12.500000000000005,24.876237623762375
aggregate,ssd,global_generic,clean_s0,26.575118629374455,51.93400100378701,16.707920792079207,-0.12321836579262668,-0.08704167120008321,0.0,0.0,0.0,0.0,0.04175718883479562,0.5916552307481782,0.0
aggregate,ssd,det_pseudo,gamma_s1,23.690690772373944,47.64005246678514,16.707920792079207,0.6162683301297184,-0.9907820452374871,0.0,0.5300845331785958,-1.4852618503608583,0.0,0.0,0.0,0.0
aggregate,ssd,det_pseudo,gamma_s2,22.70993766043271,47.125962596259626,12.5,0.07425742574257432,0.7425742574257432,0.0,-0.3941406045366441,-0.3457488606003478,0.0,0.0,0.0,0.0
aggregate,ssd,det_pseudo,contrast_s1,11.461785049879513,36.557306818323696,4.207920792079208,0.1843209639483756,-0.03779980772352087,-0.16184310738766167,0.38954726291400427,-0.8145107205730473,0.0,0.0,0.0,0.0
aggregate,ssd,det_pseudo,contrast_s2,21.318756875687566,39.865236523652364,15.305280528052803,-0.5065918491162641,-3.1338345505031118,2.805280528052803,-4.292269452509162,-13.628956880650472,2.805280528052803,0.0,0.0,0.0
aggregate,ssd,det_pseudo,color_cast_s1,26.174799622819428,48.802451673738794,16.707920792079207,-12.031832882536369,-13.049351927673985,-24.876237623762375,-11.99347050608025,-10.752937827475478,-24.955632355688397,0.0,0.0,0.0
aggregate,ssd,det_pseudo,color_cast_s2,22.671532537869172,45.1999238385377,16.707920792079207,-11.238692695180447,-12.510689328042119,-24.876237623762375,-11.237623762376236,-12.500000000000005,-24.876237623762375,0.0,0.0,0.0
aggregate,ssd,det_pseudo,clean_s0,26.53336144053966,51.342345773038836,16.707920792079207,-0.1649755546274223,-0.6786969019482614,0.0,-0.04175718883479562,-0.5916552307481782,0.0,0.0,0.0,0.0
