config,role,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
random_2026091675,random,block_3,source,contrast_s2,32.7681248155473,52.689776559198975,34.65075027935276,0.13014269035065973,0.08024609460689502,0.6248457326366585,-0.3371953618212076,-0.28265100589598413,-0.4543372785464683
random_2026091675,random,block_3,source,color_cast_s1,40.315900127673814,62.31035168400146,44.08646744076198,-0.15745571962036964,-0.2192180383680853,-0.18095369170681996,-0.04047452146957453,-0.27339132874169003,0.9482734259671444
random_2026091675,random,block_3,source,color_cast_s2,39.4998158880148,61.45641960546535,41.224703350456615,0.08911823714736755,-0.17926629687128326,0.11463879645831065,0.008326404957392786,0.21461270819403966,-0.4579834956844997
random_2026091675,random,block_3,source,clean_s0,41.87979381986529,63.457709582593225,45.156462824802986,0.18890293936218439,-0.0034499408413157795,0.13611799506625388,0.13885627548190227,0.0454024171922196,0.3499776457531134
random_2026091675,random,block_3,target,gamma_s1,41.15891852787607,60.08974353365747,43.8467215220645,-0.14673007404569227,-0.060091287587249465,-0.35034327588321923,0.1453133514813243,0.14194678870008692,0.08376399976574578
random_2026091675,random,block_3,target,gamma_s2,40.141547702196966,58.6073178023937,42.55738856299214,0.03529787722983957,0.003283091450279052,0.06866476249509645,0.14541672981104314,0.1282153584200807,0.39663973012002973
random_2026091675,random,block_3,target,contrast_s1,40.69229168933661,58.22144383356207,43.738594956552895,0.004355994179788825,-0.4354014444481802,0.07478084981768496,-0.021435415544612813,0.008519057061484592,-0.07490625785231964
random_2026091675,random,block_3,target,contrast_s2,35.698406420193095,51.73951258634071,37.091891154466154,0.03911283022054457,0.011648094258209785,0.16608492876000747,-0.00878679290050588,-0.04582250882958494,-0.3980200080339502
random_2026091675,random,block_3,target,color_cast_s1,42.190634667538866,61.015101328393214,44.9771666982972,-0.12272788636334409,-0.11154881620164536,-0.1730435179669143,0.06803875782928626,-0.8492338028202151,-0.09166108236191017
random_2026091675,random,block_3,target,color_cast_s2,41.219423303910666,59.76934926914589,43.42336377806528,0.06801896532140916,-0.0661483357535908,0.13768789783071833,-0.14614674081576684,-0.11492881528711862,-0.08607130754502701
random_2026091675,random,block_3,target,clean_s0,42.847699287185996,62.11706212545122,45.3842204309134,-0.06300749048702148,0.07752757596287685,0.5817727034140685,0.03597636204350496,-0.03954271884794025,-0.23411127327515047
random_2026091675,random,block_3,ssd,gamma_s1,28.13342642801605,44.848554305808605,29.923929045403337,-0.054076171187616984,-0.13811823839770532,0.02526818336846537,-0.01640585855104404,-0.016542314409384584,-0.05026881553180096
random_2026091675,random,block_3,ssd,gamma_s2,27.218663204943706,43.41518840896761,28.865320444167214,0.010399289699980496,0.02738593898914954,-0.02623925097254287,-0.3407164407372487,-0.7834671169125951,-0.08328978596382486
random_2026091675,random,block_3,ssd,contrast_s1,28.318581381742813,45.68784964809437,29.888220216034007,0.09611852056986558,0.15045806793143046,0.07742953319811452,-0.06777299035589657,-0.06389121691243727,0.0126892296169967
random_2026091675,random,block_3,ssd,contrast_s2,26.873198963708056,43.640753414586406,28.7678215416094,0.00946690925436866,0.025787662980597537,-0.08886896482998563,0.087904997166105,-0.04485908918793191,0.6854200673651278
random_2026091675,random,block_3,ssd,color_cast_s1,28.19097503130987,44.462756322171764,29.67536474051005,-0.04590194910137346,-0.08777821090499294,-0.09181771218174095,-0.13286297192167673,-0.20412846692494102,-0.2005576414279564
random_2026091675,random,block_3,ssd,color_cast_s2,27.032100635697994,42.8596391265717,27.59482088393645,-0.05467219941752699,-0.05101977475848174,-0.07370406750731862,-0.07201240282199706,-0.0923736450403001,-0.18638344923103678
random_2026091675,random,block_3,ssd,clean_s0,28.84258654694179,45.8630370289274,30.597929432665595,0.06859211248315122,0.07065162467579933,0.012852925321810149,-0.012689252235675852,-0.018352019545225806,-0.03531537651460526
random_2026091675,random,block_4,source,gamma_s1,37.665143310593066,58.06406863730804,41.13928882038642,0.21850931891210235,-0.2225235407502857,0.7840560052241319,-0.26939387047657526,-0.17968641577466027,-0.08584750571999922
random_2026091675,random,block_4,source,gamma_s2,35.122716331889535,54.884724817520144,37.28236687131306,0.01230094006922089,-0.10701006907095634,0.06552023720247657,-0.31483671416694947,-0.11859757793657444,-1.6496900809844284
random_2026091675,random,block_4,source,contrast_s1,35.9823584880974,56.036320584934494,39.50124922056231,-0.012542964527373357,0.08054109856109326,0.39522049765244316,0.29981388146558263,0.17971450910327924,0.5074036156729134
random_2026091675,random,block_4,source,contrast_s2,30.291736743881977,47.208413952556576,33.052808548755934,-0.11136832586945422,0.10929014633482836,0.1234352292261709,-0.15070804908420832,-0.1050065586280069,-0.19152693028736678
