config,role,group,detector,macro_AP_delta_no_adapt,clean_AP_delta_no_adapt,macro_AP50_delta_no_adapt,clean_AP50_delta_no_adapt,macro_AP75_delta_no_adapt,clean_AP75_delta_no_adapt,positive_conditions_no_adapt,macro_AP_delta_full_hybrid,clean_AP_delta_full_hybrid,macro_AP50_delta_full_hybrid,clean_AP50_delta_full_hybrid,macro_AP75_delta_full_hybrid,clean_AP75_delta_full_hybrid,positive_conditions_full_hybrid
random_2026091625,random,aggregate,source,-0.002045801806926928,0.003708204924512959,0.042498174517898356,-0.004870009284974053,0.006776952168718875,0.049992867025228094,4,-0.06922798811141255,0.02161890978354397,-0.06454926063118038,0.09656119986507505,-0.22064329854234085,0.10982705120485825,1
random_2026091625,random,aggregate,target,0.039959005620045694,0.0656907956541275,0.026657325419495354,0.010939536720255827,0.028532124204960763,0.030536151587745586,4,-0.030312601355480157,0.0047434749185892855,-0.051623157524856765,-0.029116781628613086,-0.05161230156246477,-0.21688887079444052,1
random_2026091625,random,aggregate,ssd,0.012861946026757054,0.02200735309595414,0.06780207178267994,-0.04883571021220279,-0.0360388453144044,0.043131981134048036,4,-0.0192987827768068,0.026128686775286902,-0.01104299114724483,0.0025515129393083313,0.011412589817784887,0.05006576828660014,2
random_2026091625,random,block_1,source,-0.045388515366286596,0.35716645076024345,0.013983925736486361,0.39270991787272447,-0.08745767432870959,0.7978319268543921,1,0.008931637408498191,0.5508883023578048,0.001233718541269561,0.6349602319873693,0.2223566133690985,0.6758399450110697,3
random_2026091625,random,block_1,target,0.08231854676045518,0.07966211914646748,0.08057061175804625,-0.05974554738759075,-0.07786091401996154,0.076008191081961,3,-0.011218562463879977,0.012025510421304064,-0.05216359140446195,-0.01745903369294588,-0.005087203726447664,-0.4008521809044485,3
random_2026091625,random,block_1,ssd,-0.015731698998255883,-0.03499339788868849,0.08458038669940753,-0.1818207106682901,0.013708070333692812,-0.01983681177825658,2,-0.011154995323427638,-0.03270613193576688,-0.022318711833261656,-0.1252288337764751,-0.06690732033820442,-0.05332362253883671,1
random_2026091625,random,block_2,source,-0.08824141938905221,-0.16501780837222535,-0.11517573816740383,0.04911947716127463,-0.01857247002353679,-0.286029896948381,3,-0.16648983181023294,0.17288070504988262,0.022559662821256914,0.23867646834837553,-0.27585680612445723,0.07617883730375863,0
random_2026091625,random,block_2,target,0.06470731946802515,-0.08269638613528363,0.019023399111417483,-0.16222263788248092,-0.03890559241266078,-0.18972276209429095,4,-0.09734469295279528,0.10233763009636632,-0.16720620642023212,0.13347745095990682,-0.12003155525605232,-0.013314671904401942,3
random_2026091625,random,block_2,ssd,-0.005822091833812548,0.024740232483477786,-0.007958545005607812,-0.0043183844482097555,-0.04398840577065355,0.07303287459318741,3,-0.06119434983217672,0.04094579870855819,0.024660836309562766,-0.015932055727257977,-0.0727233495591099,0.21521095090333842,3
random_2026091625,random,block_3,source,-0.04436647069034257,0.017566591869527803,-0.12458640793631681,-0.04152847180305397,-0.05295624881477371,-0.18073803987365689,4,-0.060792141445550896,-0.03248007201075431,-0.17408445566771494,0.007323886230481413,0.20605775375680627,0.03312161081320264,4
random_2026091625,random,block_3,target,-0.013831164825722775,-0.04834633018195866,-0.0038775097509990974,-0.03895038421912744,-0.01039054817231951,0.29645401048203346,3,0.03701419906064762,0.050637522348567776,-0.016051713829847342,-0.15602067902994454,-0.02607164333245371,-0.5194299662071855,4
random_2026091625,random,block_3,ssd,0.039879061972631726,0.03133620159834205,0.15703619687724066,0.02226114152802383,-0.10690996983265717,0.026418364001734584,2,-0.04398761586727751,-0.049945163120485025,-0.0316266856606906,-0.0667425026930013,-0.047652989207238226,-0.02174993783468082,1
random_2026091625,random,block_4,source,-0.06976203007834081,0.13745412843189087,-0.15084306604037645,0.31896136015630017,-0.013233772483212114,0.0973815973640102,2,-0.0901996454941258,0.04907071309215305,-0.11178467550281938,0.18472267827879252,-0.40801273297956886,-0.09827340896968462,2
random_2026091625,random,block_4,target,0.002309834988750703,0.0684212065969636,-0.07260527985348357,0.028308541189547842,0.020017795486652428,-0.4423878739943765,3,-0.09592806494835941,-0.07146924581276082,-0.05322081716574075,-0.11465637167192844,-0.18395936571266405,-0.05261523023588621,0
random_2026091625,random,block_4,ssd,0.019815411175108655,-0.14467768198929698,0.04731822711791419,-0.030861544972482502,0.014294756819826135,-0.19113209538711984,4,-0.011809587896870663,0.0493124787223298,-0.008347698959731975,0.13635200211654652,-0.08048893891954012,0.06371334290083963,3
random_2026091625,random,block_5,source,0.04483816631857077,-0.15795882989721455,0.13886064393279032,-0.2188996607943805,0.08514295025014162,-0.01592550557873995,5,0.013318123291117256,-0.19392406469226908,0.12580001448601977,-0.08423257862757438,0.10763277316191237,-0.051786316663537946,3
random_2026091625,random,block_5,target,0.12521407040190133,0.1879912230053904,0.13437781526698758,0.29549448886141416,0.09618657566623501,0.2861721056906519,5,0.044521550144549504,-0.08213956659663402,0.07413573136325624,0.06085235462189864,-0.01596236038313899,-0.2844154165677959,4
random_2026091625,random,block_5,ssd,0.07077272143817907,-0.027060869017203615,0.10827638142785294,-0.21866257233114084,0.009559269681383431,0.24597928243829115,4,0.046336462991525273,0.05073941876493904,-0.010937603085652467,0.1735970467587833,0.26389397637651413,0.1115742517796503,4
random_2026091626,random,aggregate,source,0.015962029253104488,0.049086348892857234,0.05193524359458449,0.0012672984711192825,-0.03749140112941455,0.1933655514670951,3,-0.05122015705138113,0.06699705375188825,-0.05511219155449424,0.10269850762116839,-0.26491165184047427,0.25319973564672527,0
random_2026091626,random,aggregate,target,0.04096115750325443,0.03680691692344862,0.04777125687442004,0.008476014586278335,0.0690214199341399,0.09007195805649792,4,-0.029310449472271422,-0.024140403812089595,-0.030509226069932078,-0.03158030376259058,-0.011123005833285626,-0.15735306432568819,2
random_2026091626,random,aggregate,ssd,0.017389650670249685,0.01652582424658544,0.05044258266039825,-0.004461812281292277,-0.014003242316747155,-0.010403274423625986,3,-0.014771078133314167,0.020647157925918203,-0.02840248026952652,0.04692541087021884,0.033448192815442125,-0.003469487271073879,1
