config,group,detector,macro_AP_delta_no_adapt,positive_conditions_no_adapt,clean_AP_delta_no_adapt,macro_AP_delta_full_hybrid,positive_conditions_full_hybrid,clean_AP_delta_full_hybrid
det_norm_low_50,block_1,target,0.05531446573873699,4,0.0,0.18840271828714042,1,-0.1396961558504023
det_norm_low_50,block_1,ssd,-0.11157027211205177,2,0.0,0.07486738648802248,1,0.329951109254846
det_norm_low_50,block_2,source,0.0,0,-1.6831683168316847,0.17739273927392704,2,0.0
det_norm_low_50,block_2,target,0.0,0,-0.8168316831683176,-3.7499999999999987,0,0.0
det_norm_low_50,block_2,ssd,0.0,0,0.0,4.191561397519061,2,0.0
det_norm_low_75,aggregate,source,-0.7355597166859527,2,-0.11398014801480283,-0.40016501650165104,1,0.0
det_norm_low_75,aggregate,target,-0.06692331745433895,4,-0.340441736481345,-1.8749999999999998,0,0.0
det_norm_low_75,aggregate,ssd,-0.10772890099686276,1,-0.1649755546274223,2.081270627062706,1,0.0
det_norm_low_75,block_1,source,-0.49350428463899126,2,1.4552080208020817,0.0,0,0.0
det_norm_low_75,block_1,target,-0.13308825254840342,4,0.1396961558504023,0.0,0,0.0
det_norm_low_75,block_1,ssd,-0.18643765860007425,2,-0.329951109254846,0.0,0,0.0
det_norm_low_75,block_2,source,-0.9777227722772271,0,-1.6831683168316847,-0.8003300330033002,1,0.0
det_norm_low_75,block_2,target,0.0,0,-0.8168316831683176,-3.7499999999999987,0,0.0
det_norm_low_75,block_2,ssd,-0.029020143393649705,0,0.0,4.162541254125411,1,0.0
log_norm_ratio_high_25,aggregate,source,0.40016501650165104,1,0.0,0.7355597166859527,4,0.11398014801480283
log_norm_ratio_high_25,aggregate,target,1.8749999999999998,1,0.0,0.06692331745433895,2,0.340441736481345
log_norm_ratio_high_25,aggregate,ssd,-2.081270627062706,0,0.0,0.10772890099686276,4,0.1649755546274223
log_norm_ratio_high_25,block_1,source,0.0,0,0.0,0.49350428463899126,3,-1.4552080208020817
log_norm_ratio_high_25,block_1,target,0.0,0,0.0,0.13308825254840342,2,-0.1396961558504023
log_norm_ratio_high_25,block_1,ssd,0.0,0,0.0,0.18643765860007425,3,0.329951109254846
log_norm_ratio_high_25,block_2,source,0.8003300330033002,1,0.0,0.9777227722772271,1,1.6831683168316847
log_norm_ratio_high_25,block_2,target,3.7499999999999987,1,0.0,0.0,0,0.8168316831683176
log_norm_ratio_high_25,block_2,ssd,-4.162541254125411,0,0.0,0.029020143393649705,1,0.0
log_norm_ratio_high_50,aggregate,source,-0.13898711299701189,1,-0.8415841584158396,0.19640758718728982,2,-0.7276040104010367
log_norm_ratio_high_50,aggregate,target,1.8760608203677502,2,-0.4084158415841588,0.0679841378220895,2,-0.06797410510281376
log_norm_ratio_high_50,aggregate,ssd,-2.095780698759531,0,0.0,0.0932188293000379,3,0.1649755546274223
log_norm_ratio_high_50,block_1,source,-0.10058148672010063,0,0.0,0.3929227979188907,2,-1.4552080208020817
log_norm_ratio_high_50,block_1,target,0.002121640735502454,1,0.0,0.1352098932839059,2,-0.1396961558504023
log_norm_ratio_high_50,block_1,ssd,0.0,0,0.0,0.18643765860007425,3,0.329951109254846
log_norm_ratio_high_50,block_2,source,-0.17739273927392704,1,-1.6831683168316847,0.0,0,0.0
log_norm_ratio_high_50,block_2,target,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
log_norm_ratio_high_50,block_2,ssd,-4.191561397519061,0,0.0,0.0,0,0.0
log_norm_ratio_high_75,aggregate,source,-0.26013672795850756,1,-0.11398014801480283,0.07525797222579418,1,0.0
log_norm_ratio_high_75,aggregate,target,1.811706811961469,3,-0.340441736481345,0.003630129415808462,1,0.0
log_norm_ratio_high_75,aggregate,ssd,-2.1277661441873073,0,-0.1649755546274223,0.06123338387226165,2,0.0
log_norm_ratio_high_75,block_1,source,-0.34288071664309333,0,1.4552080208020817,0.150623567995898,1,0.0
log_norm_ratio_high_75,block_1,target,-0.12627924403495286,2,0.1396961558504023,0.006809008513450575,1,0.0
log_norm_ratio_high_75,block_1,ssd,-0.06397089085555345,1,-0.329951109254846,0.1224667677445208,2,0.0
log_norm_ratio_high_75,block_2,source,-0.17739273927392704,1,-1.6831683168316847,0.0,0,0.0
log_norm_ratio_high_75,block_2,target,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
log_norm_ratio_high_75,block_2,ssd,-4.191561397519061,0,0.0,0.0,0,0.0
log_norm_ratio_low_25,aggregate,source,-0.07525797222579418,2,0.0,0.26013672795850756,3,0.11398014801480283
log_norm_ratio_low_25,aggregate,target,-0.003630129415808462,2,0.0,-1.811706811961469,1,0.340441736481345
log_norm_ratio_low_25,aggregate,ssd,-0.06123338387226165,1,0.0,2.1277661441873073,2,0.1649755546274223
