config,score,orientation,nominal_coverage,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,promising_rule_met,source_macro_AP_delta_no_adapt,source_positive_conditions_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP_delta_full_hybrid,source_positive_conditions_full_hybrid,source_clean_AP_delta_full_hybrid,target_macro_AP_delta_no_adapt,target_positive_conditions_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP_delta_full_hybrid,target_positive_conditions_full_hybrid,target_clean_AP_delta_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_positive_conditions_full_hybrid,ssd_clean_AP_delta_full_hybrid,target_positive_blocks,ssd_positive_blocks
gradient_cosine_high_25,gradient_cosine,high,0.25,0.5,0.16666666666666666,0.023192597553133965,0.5,0.20497031150443945,0.15445225258008577,,-0.20123262326232627,0,0.7276040104010395,0.1341620769219755,3,0.8415841584158423,0.004856126112499452,1,0.06797410510281376,-1.8032205564331614,2,0.4084158415841588,-0.05569437896170611,0,-0.1649755546274223,2.133305149097863,3,0.0,1,0
gradient_cosine_high_50,gradient_cosine,high,0.5,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.2008946489125568,,-0.37267298158387185,0,-0.11398014801480283,-0.03727828139957016,2,0.0,-0.08843797868437382,2,-0.340441736481345,-1.8965146612300348,1,0.0,-0.09312807220571706,0,-0.1649755546274223,2.095871455853852,3,0.0,0,0
gradient_cosine_high_75,gradient_cosine,high,0.75,1.0,0.6666666666666666,0.028837466146796942,1.0,0.3149545664928155,0.25464605240995297,,-0.7637745917448869,1,-0.11398014801480283,-0.42837989156058515,1,0.0,-0.08060325949009924,3,-0.340441736481345,-1.88867994203576,0,0.0,-0.1015023273294317,1,-0.1649755546274223,2.0874972007301373,2,0.0,0,0
gradient_cosine_low_25,gradient_cosine,low,0.25,0.0,0.25,0.0,0.0,0.09914033849781845,0.17315183183624563,,0.5191389674681751,2,0.0,0.8545336676524767,5,0.11398014801480283,0.013679942035760284,1,0.0,-1.7943967405099004,2,0.340441736481345,-2.0874972007301373,0,0.0,0.1015023273294317,3,0.1649755546274223,1,0
gradient_cosine_low_50,gradient_cosine,low,0.5,0.0,0.5833333333333334,0.0,0.0,0.09914033849781845,0.24522797808216032,,0.03727828139957016,2,0.0,0.37267298158387185,3,0.11398014801480283,1.895556377248327,2,0.0,0.08747969470266626,1,0.340441736481345,-2.095871455853852,1,0.0,0.09312807220571706,2,0.1649755546274223,2,0
gradient_cosine_low_75,gradient_cosine,low,0.75,0.5,0.75,0.005644868593662977,0.5,0.2091245934861945,0.27364250599687995,,-0.013012461960479801,2,-0.8415841584158396,0.3223822382238219,2,-0.7276040104010367,1.8966171976160775,3,-0.4084158415841588,0.08854051507041678,1,-0.06797410510281376,-2.095871455853852,1,0.0,0.09312807220571706,2,0.1649755546274223,2,0
pseudo_loss_high_25,pseudo_loss,high,0.25,0.0,0.25,0.0,0.0,0.09914033849781845,0.17361699116493887,,-0.21190869086908556,0,0.0,0.12348600931521615,3,0.11398014801480283,1.780645074835376,1,0.0,-0.027431607710284855,1,0.340441736481345,-0.03743369324401095,0,0.0,2.151565834815558,4,0.1649755546274223,1,0
pseudo_loss_high_50,pseudo_loss,high,0.5,0.5,0.5,0.023192597553133965,0.5,0.20497031150443945,0.2224908553325804,,0.22872465818010537,1,0.7276040104010395,0.5641193583644072,2,0.8415841584158423,1.811706811961469,3,0.06797410510281376,0.003630129415808462,1,0.4084158415841588,-2.1132560724904828,1,-0.1649755546274223,0.0757434555690865,3,0.0,1,0
pseudo_loss_high_75,pseudo_loss,high,0.75,0.5,0.75,0.023192597553133965,0.5,0.20497031150443945,0.27513836374661577,,0.15346668595431118,2,0.7276040104010395,0.4888613861386129,1,0.8415841584158423,1.8080766825456607,4,0.06797410510281376,0.0,0,0.4084158415841588,-2.1744894563627444,2,-0.1649755546274223,0.014510071696824852,1,0.0,1,0
pseudo_loss_low_25,pseudo_loss,low,0.25,0.5,0.16666666666666666,0.005644868593662977,0.5,0.2091245934861945,0.15559907558296496,,-0.4888613861386129,0,-0.8415841584158396,-0.15346668595431118,3,-0.7276040104010367,-0.0009582839817075713,0,-0.4084158415841588,-1.8090349665273682,2,-0.06797410510281376,-0.014510071696824852,0,0.0,2.1744894563627444,3,0.1649755546274223,0,0
pseudo_loss_low_50,pseudo_loss,low,0.5,0.5,0.5,0.005644868593662977,0.5,0.2091245934861945,0.22363177166213669,,-0.5641193583644072,2,-0.8415841584158396,-0.22872465818010537,2,-0.7276040104010367,-0.003630129415808462,2,-0.4084158415841588,-1.811706811961469,1,-0.06797410510281376,-0.0757434555690865,1,0.0,2.1132560724904828,1,0.1649755546274223,0,0
pseudo_loss_low_75,pseudo_loss,low,0.75,0.5,0.75,0.005644868593662977,0.5,0.2091245934861945,0.2725056358297782,,-0.12348600931521615,3,-0.8415841584158396,0.21190869086908556,2,-0.7276040104010367,0.027431607710284855,4,-0.4084158415841588,-1.780645074835376,1,-0.06797410510281376,-2.151565834815558,1,0.0,0.03743369324401095,1,0.1649755546274223,1,0
