contrast,group,proxy,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,gamma_s1,recall75,loss_good_proxy_bad,0.04522613065326633,0.02,0.07537688442211055,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall75,loss_bad_proxy_good,0.02512562814070352,0.005025125628140704,0.05,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall75,loss_bad_proxy_bad,0.04020100502512563,0.01507537688442211,0.07035175879396985,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall75,ties,0.8693467336683417,0.82,0.915,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall75,proxy_bad_given_loss_good,0.10714285714285714,0.04819277108433735,0.18181818181818182,84
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_mean,mean_delta,-0.000709213056959353,-0.0037829765700547993,0.0019670134170949034,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_mean,loss_good_proxy_good,0.18090452261306533,0.13,0.23353997461928913,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_mean,loss_good_proxy_bad,0.24120603015075376,0.18592964824120603,0.3015075376884422,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_mean,loss_bad_proxy_good,0.2814070351758794,0.22,0.345,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_mean,loss_bad_proxy_bad,0.2964824120603015,0.235,0.3622448979591837,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_mean,ties,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_mean,proxy_bad_given_loss_good,0.5714285714285714,0.46987951807228917,0.6760666942833471,84
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_median,mean_delta,0.0004017391447897156,-0.003034761291869978,0.003640490605762338,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_median,loss_good_proxy_good,0.19095477386934673,0.1406859296482412,0.24623115577889448,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_median,loss_good_proxy_bad,0.22613065326633167,0.17,0.28426395939086296,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_median,loss_bad_proxy_good,0.2914572864321608,0.23,0.35678391959798994,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_median,loss_bad_proxy_bad,0.2814070351758794,0.22110552763819097,0.3417085427135678,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_median,ties,0.010050251256281407,0.0,0.025252525252525252,199
source/global_generic-minus-no_adapt/K1,gamma_s1,best_iou_median,proxy_bad_given_loss_good,0.5357142857142857,0.43297575926441906,0.6410326086956522,84
