detector,case,variant,k,iou,tp_count,mean,p10,p25,median,p75,p90
target,gamma_s1,det_pseudo,3,50,1218,0.5942206284511461,0.33870460391044616,0.45536956936120987,0.6187520623207092,0.7319537103176117,0.8049423992633818
target,gamma_s1,det_pseudo,3,75,897,0.6262004290735442,0.35966341495513915,0.5156376957893372,0.666571319103241,0.7588467001914978,0.8239807963371277
target,gamma_s1,det_pseudo_clip_radius,1,50,1216,0.5950782633705163,0.3396729379892349,0.455626904964447,0.6180883347988129,0.7294361591339111,0.8059386610984802
target,gamma_s1,det_pseudo_clip_radius,1,75,900,0.6261034894982974,0.36167264580726627,0.5142193287611008,0.6663070619106293,0.7587496489286423,0.8233515739440918
target,gamma_s1,det_pseudo_clip_radius,3,50,1216,0.595344743703639,0.3414984345436096,0.4593546763062477,0.6187287271022797,0.7317049950361252,0.8065478801727295
target,gamma_s1,det_pseudo_clip_radius,3,75,901,0.6266899618271585,0.36391642689704895,0.5151470899581909,0.6681715250015259,0.7585168480873108,0.8241447806358337
target,gamma_s2,no_adapt,0,50,1191,0.5876841341668473,0.32237014174461365,0.44911903142929077,0.6146566867828369,0.7321751713752747,0.8066865801811218
target,gamma_s2,no_adapt,0,75,854,0.624529204739201,0.3579470783472061,0.5033481121063232,0.663217157125473,0.7558301985263824,0.8229459702968598
target,gamma_s2,global_generic,1,50,1189,0.5877681315396391,0.3273934066295624,0.4483993947505951,0.613937258720398,0.7318164110183716,0.8065544962882996
target,gamma_s2,global_generic,1,75,847,0.6255210037953457,0.3594273567199707,0.5065294206142426,0.6629689335823059,0.7561226785182953,0.822769284248352
target,gamma_s2,global_generic,3,50,1184,0.5880026610417141,0.32489470541477206,0.4497355967760086,0.6129339635372162,0.7307099997997284,0.8067543506622314
target,gamma_s2,global_generic,3,75,836,0.6276916164067088,0.36323322355747223,0.5142369568347931,0.666219025850296,0.7564146816730499,0.8226634860038757
target,gamma_s2,det_pseudo,1,50,1185,0.5888186623275532,0.3322788178920746,0.4501537084579468,0.6150105595588684,0.7308827638626099,0.8068010568618774
target,gamma_s2,det_pseudo,1,75,859,0.6227330969987009,0.34939584136009216,0.5007941126823425,0.6628280878067017,0.7575542628765106,0.8226288557052612
target,gamma_s2,det_pseudo,3,50,1190,0.5884821222108954,0.326930770277977,0.4516862705349922,0.6194661855697632,0.7314922660589218,0.8078810691833497
target,gamma_s2,det_pseudo,3,75,868,0.620579337194768,0.3452244073152542,0.4974353164434433,0.6614886224269867,0.7566112577915192,0.8225199580192566
target,gamma_s2,det_pseudo_clip_radius,1,50,1192,0.5876123004611706,0.32375568747520445,0.45009511709213257,0.6145258843898773,0.7308020442724228,0.8072636902332306
target,gamma_s2,det_pseudo_clip_radius,1,75,858,0.6244260364826465,0.357543021440506,0.5022335052490234,0.6631283164024353,0.7562408894300461,0.8233322560787202
target,gamma_s2,det_pseudo_clip_radius,3,50,1190,0.5889398941848458,0.32612118124961853,0.4517756327986717,0.6174029409885406,0.7312416434288025,0.8067066848278046
target,gamma_s2,det_pseudo_clip_radius,3,75,859,0.6245578519123952,0.35557029843330384,0.5093319118022919,0.663183867931366,0.756689727306366,0.8229178905487061
target,contrast_s1,no_adapt,0,50,1208,0.590082909295101,0.3342561423778534,0.4494783505797386,0.61510169506073,0.7327850311994553,0.8098610877990723
target,contrast_s1,no_adapt,0,75,887,0.6208804766516272,0.34697259664535524,0.49684907495975494,0.6577484011650085,0.7572586238384247,0.8237984538078308
target,contrast_s1,global_generic,1,50,1211,0.5893831454974181,0.3322114944458008,0.4475240111351013,0.614464521408081,0.7324933409690857,0.8099835515022278
target,contrast_s1,global_generic,1,75,885,0.6219566795280425,0.35303487777709963,0.49794235825538635,0.6587771773338318,0.7575380802154541,0.8260954976081848
target,contrast_s1,global_generic,3,50,1210,0.5900898624303912,0.33224090039730075,0.44833119958639145,0.6167934238910675,0.7315676659345627,0.8097168624401093
target,contrast_s1,global_generic,3,75,888,0.6218067601591617,0.35526720285415647,0.5016657561063766,0.6582171022891998,0.7594952136278152,0.8257737100124359
target,contrast_s1,det_pseudo,1,50,1210,0.590111358279039,0.3281527042388916,0.44574059545993805,0.6179258227348328,0.7320121824741364,0.8082171797752382
target,contrast_s1,det_pseudo,1,75,883,0.622001789687444,0.3475246369838715,0.50552698969841,0.6591920256614685,0.756210446357727,0.8245097517967224
target,contrast_s1,det_pseudo,3,50,1212,0.5911323974038115,0.3292166650295258,0.45163917541503906,0.6196790039539337,0.7327090948820114,0.8068681240081788
target,contrast_s1,det_pseudo,3,75,878,0.622377309362682,0.33788481056690217,0.5129888504743576,0.6617379486560822,0.755478173494339,0.8241229712963105
target,contrast_s1,det_pseudo_clip_radius,1,50,1210,0.5900830959978183,0.33183381855487826,0.44722986966371536,0.616334855556488,0.7321969270706177,0.808663731813431
target,contrast_s1,det_pseudo_clip_radius,1,75,885,0.6219963296153451,0.34920627474784854,0.5006599426269531,0.6585832834243774,0.7567696571350098,0.8250906348228455
target,contrast_s1,det_pseudo_clip_radius,3,50,1213,0.5894780468812976,0.3279287040233612,0.445406436920166,0.6153827905654907,0.7322214245796204,0.8082198023796081
target,contrast_s1,det_pseudo_clip_radius,3,75,884,0.6223267970345409,0.34358232319355014,0.5024147480726242,0.6609427034854889,0.7574954777956009,0.82654287815094
target,contrast_s2,no_adapt,0,50,1116,0.5780520579881139,0.3124696761369705,0.43339645862579346,0.5963312685489655,0.7252440452575684,0.8066800534725189
