contrast,group,event,estimate,ci_low,ci_high,valid_observations
global_generic-minus-no_adapt/K3,"clean_s0 ratio [1,2)",both_duplicates,0.03225806451612903,0.0,0.0967741935483871,31
global_generic-minus-no_adapt/K3,"clean_s0 ratio [2,4)",source_only_fail,0.3023255813953488,0.18604651162790697,0.4418604651162791,43
global_generic-minus-no_adapt/K3,"clean_s0 ratio [2,4)",target_only_fail,0.13953488372093023,0.046511627906976744,0.2558139534883721,43
global_generic-minus-no_adapt/K3,"clean_s0 ratio [2,4)",both_any_fail,0.2558139534883721,0.13953488372093023,0.3953488372093023,43
global_generic-minus-no_adapt/K3,"clean_s0 ratio [2,4)",both_geometry,0.11627906976744186,0.023255813953488372,0.20930232558139536,43
global_generic-minus-no_adapt/K3,"clean_s0 ratio [2,4)",both_class_score,0.06976744186046512,0.0,0.16279069767441862,43
global_generic-minus-no_adapt/K3,"clean_s0 ratio [2,4)",both_false_positives,0.06976744186046512,0.0,0.16279069767441862,43
global_generic-minus-no_adapt/K3,"clean_s0 ratio [2,4)",both_duplicates,0.023255813953488372,0.0,0.06976744186046512,43
global_generic-minus-no_adapt/K3,"clean_s0 ratio [4,inf)",source_only_fail,0.3283582089552239,0.22388059701492538,0.44776119402985076,67
global_generic-minus-no_adapt/K3,"clean_s0 ratio [4,inf)",target_only_fail,0.1791044776119403,0.08955223880597014,0.2835820895522388,67
global_generic-minus-no_adapt/K3,"clean_s0 ratio [4,inf)",both_any_fail,0.1044776119402985,0.04477611940298507,0.17947761194029646,67
global_generic-minus-no_adapt/K3,"clean_s0 ratio [4,inf)",both_geometry,0.029850746268656716,0.0,0.07462686567164178,67
global_generic-minus-no_adapt/K3,"clean_s0 ratio [4,inf)",both_class_score,0.029850746268656716,0.0,0.07462686567164178,67
global_generic-minus-no_adapt/K3,"clean_s0 ratio [4,inf)",both_false_positives,0.014925373134328358,0.0,0.04477611940298507,67
global_generic-minus-no_adapt/K3,"clean_s0 ratio [4,inf)",both_duplicates,0.0,0.0,0.0,67
det_pseudo-minus-no_adapt/K1,corrupted_overall,source_only_fail,0.2175,0.19416666666666665,0.2425,1200
det_pseudo-minus-no_adapt/K1,corrupted_overall,target_only_fail,0.2275,0.20414583333333333,0.25083333333333335,1200
det_pseudo-minus-no_adapt/K1,corrupted_overall,both_any_fail,0.2,0.1775,0.22416666666666665,1200
det_pseudo-minus-no_adapt/K1,corrupted_overall,both_geometry,0.05611390284757119,0.0425,0.07000549915397629,1194
det_pseudo-minus-no_adapt/K1,corrupted_overall,both_class_score,0.04438860971524288,0.031825795644891124,0.05778894472361809,1194
det_pseudo-minus-no_adapt/K1,corrupted_overall,both_false_positives,0.05,0.035833333333333335,0.06502083333333322,1200
det_pseudo-minus-no_adapt/K1,corrupted_overall,both_duplicates,0.015833333333333335,0.009166666666666667,0.0225,1200
det_pseudo-minus-no_adapt/K1,gamma_s1,source_only_fail,0.235,0.175,0.295,200
det_pseudo-minus-no_adapt/K1,gamma_s1,target_only_fail,0.275,0.215,0.34,200
det_pseudo-minus-no_adapt/K1,gamma_s1,both_any_fail,0.165,0.115,0.215,200
det_pseudo-minus-no_adapt/K1,gamma_s1,both_geometry,0.03015075376884422,0.01,0.05555555555555555,199
det_pseudo-minus-no_adapt/K1,gamma_s1,both_class_score,0.05025125628140704,0.025,0.08080808080808081,199
det_pseudo-minus-no_adapt/K1,gamma_s1,both_false_positives,0.04,0.015,0.07,200
det_pseudo-minus-no_adapt/K1,gamma_s1,both_duplicates,0.01,0.0,0.025,200
det_pseudo-minus-no_adapt/K1,gamma_s2,source_only_fail,0.25,0.19,0.31,200
