group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
aggregate,ssd,det_pseudo_clip_radius,contrast_s1,24.72187060326377,41.46257199944698,25.23984819002372,0.048531971494666926,0.058871164664608955,-0.003785389826005403,0.0,0.0,0.0
aggregate,ssd,det_pseudo_clip_radius,contrast_s2,22.916221816831136,38.938919645721256,22.397690695141435,0.024017494708200582,0.1116156818684988,-0.2458063633044627,0.0,0.0,0.0
aggregate,ssd,det_pseudo_clip_radius,color_cast_s1,24.28675107858532,40.72585814676267,24.61586313595656,0.04812293409656443,0.033315411632106606,0.05393399885800787,0.0,0.0,0.0
aggregate,ssd,det_pseudo_clip_radius,color_cast_s2,23.620822064930145,39.65471310009648,23.951894181988763,-0.04708502784042112,-0.0314806681391,-0.08660089602199883,0.0,0.0,0.0
aggregate,ssd,det_pseudo_clip_radius,clean_s0,24.831807965942613,41.529133101616765,25.581796488598652,-0.0041213336793327615,-0.05138722315151112,-0.006933787152552107,0.0,0.0,0.0
aggregate,ssd,det_pseudo_half_dose,gamma_s1,24.211997551745903,40.44835120816845,25.182511329264855,0.033556921264829564,0.08404224942737959,0.11698304324046505,0.03244063035987288,0.001447790404152105,0.058976985576542074
aggregate,ssd,det_pseudo_half_dose,gamma_s2,23.268605617331986,39.15743567495833,23.79743960648286,0.010876161193554279,0.015348939248377436,-0.04182780737363445,-0.10738454826386135,-0.20280538928182934,0.01862821078896515
aggregate,ssd,det_pseudo_half_dose,contrast_s1,24.688260685530782,41.40495950469478,25.336800833756147,0.014922053761678988,0.0012586699124128575,0.09316725390641767,-0.03360991773298794,-0.0576124947521961,0.09695264373242307
aggregate,ssd,det_pseudo_half_dose,contrast_s2,22.926203388502884,38.88536551357249,22.60488079293882,0.03399906637994998,0.05806154971973454,-0.03861626550707986,0.0099815716717494,-0.053554132148764255,0.20719009779738284
aggregate,ssd,det_pseudo_half_dose,color_cast_s1,24.26734331265686,40.705691649916304,24.576744717715336,0.02871516816810582,0.013148914785743315,0.014815580616786561,-0.01940776592845861,-0.02016649684636329,-0.03911841824122131
aggregate,ssd,det_pseudo_half_dose,color_cast_s2,23.647474360760544,39.68282245783505,23.998512177390786,-0.0204327320100256,-0.0033713104005295147,-0.03998290061997534,0.026652295830395523,0.028109357738570484,0.04661799540202349
aggregate,ssd,det_pseudo_half_dose,clean_s0,24.812948036829308,41.557484517061596,25.613021336352254,-0.022981262792637347,-0.023035807706683897,0.024291060601050463,-0.018859929113304585,0.02835141544482722,0.03122484775360257
block_1,source,no_adapt,gamma_s1,40.98375269103997,60.61821855066768,46.1439261816473,0.0,0.0,0.0,0.31641473880680837,0.08638429857634744,0.3515054707140919
block_1,source,no_adapt,gamma_s2,39.68731313343296,59.54391120485696,43.65894853803165,0.0,0.0,0.0,0.17615127975843525,0.21518608112586213,0.587860960547143
block_1,source,no_adapt,contrast_s1,39.62406250020558,59.29553138746755,42.658384002481434,0.0,0.0,0.0,0.04416331064994172,-0.2277701080505512,-0.3903155316601459
block_1,source,no_adapt,contrast_s2,35.34920961290893,52.907336402890046,39.05197573878446,0.0,0.0,0.0,0.007325543089797826,-0.1626950307119901,0.6316014616160492
block_1,source,no_adapt,color_cast_s1,40.52881908344665,59.54574516543496,45.49432015054775,0.0,0.0,0.0,-0.2831364517674184,-0.20926593633171509,0.06035598146112431
block_1,source,no_adapt,color_cast_s2,39.32028627496528,58.34491443145842,43.880968546512946,0.0,0.0,0.0,0.06500249611114395,0.221659452220746,0.617877383508586
block_1,source,no_adapt,clean_s0,41.270946441428066,61.68156834517152,44.467276467980795,0.0,0.0,0.0,0.1937218515975614,0.24225031411464482,-0.12199198184332238
block_1,source,det_pseudo_clip_radius,gamma_s1,40.667337952233154,60.53183425209133,45.79242071093321,-0.31641473880680837,-0.08638429857634744,-0.3515054707140919,0.0,0.0,0.0
block_1,source,det_pseudo_clip_radius,gamma_s2,39.51116185367452,59.3287251237311,43.071087577484505,-0.17615127975843525,-0.21518608112586213,-0.587860960547143,0.0,0.0,0.0
block_1,source,det_pseudo_clip_radius,contrast_s1,39.57989918955564,59.5233014955181,43.048699534141576,-0.04416331064994172,0.2277701080505512,0.3903155316601459,0.0,0.0,0.0
block_1,source,det_pseudo_clip_radius,contrast_s2,35.34188406981913,53.07003143360204,38.42037427716841,-0.007325543089797826,0.1626950307119901,-0.6316014616160492,0.0,0.0,0.0
block_1,source,det_pseudo_clip_radius,color_cast_s1,40.81195553521407,59.75501110176668,45.43396416908663,0.2831364517674184,0.20926593633171509,-0.06035598146112431,0.0,0.0,0.0
block_1,source,det_pseudo_clip_radius,color_cast_s2,39.255283778854135,58.12325497923767,43.26309116300436,-0.06500249611114395,-0.221659452220746,-0.617877383508586,0.0,0.0,0.0
block_1,source,det_pseudo_clip_radius,clean_s0,41.0772245898305,61.43931803105688,44.58926844982412,-0.1937218515975614,-0.24225031411464482,0.12199198184332238,0.0,0.0,0.0
block_1,source,det_pseudo_half_dose,gamma_s1,40.9934660047079,60.59240552176841,46.00175705669302,0.009713313667936152,-0.02581302889926862,-0.14216912495427225,0.3261280524747445,0.06057126967707882,0.20933634575981963
block_1,source,det_pseudo_half_dose,gamma_s2,39.482685173215174,59.52126865393369,43.00872236587302,-0.20462796021778473,-0.022642550923268612,-0.65022617215863,-0.02847668045934948,0.19254353020259352,-0.062365211611487004
